Block,02A_EXS,02A_CON,02A_PRP,03A,03A,03A,13A,13A,13A,23A,23A,23A,23B,23B,23B,33A,33A,33A,33B,33B,33B,40A,40A,40A,43A,43A,43A,43B,43B,43B,43C,43C,43C,44A,44A,44A
1/08/2017,0,1,1,1,1,0,0,1,1,1,10,1,1,0,,,,,,,,,,,,,,,,,,,,,,
2/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/09/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/09/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/09/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/09/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/09/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/09/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/09/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/09/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/09/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/09/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/09/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/09/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/09/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/09/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/09/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/09/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/09/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/09/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/09/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/09/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/09/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/09/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/09/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/09/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/09/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/09/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/09/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/09/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/09/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
